I PRP nsubj charge O
charge VBP ROOT ROOT O
it PRP dobj charge O
at IN case night O
night NN nmod charge O
and CC cc charge O
skip VB conj charge O
taking VBG xcomp skip O
the DT det cord O
cord NN dobj taking B-AS
with IN case me O
me PRP nmod taking O
because IN case life O
of IN mwe because O
the DT det life O
good JJ amod life O
battery NN compound life B-AS
life NN nmod taking I-AS
. . punct charge O

I PRP nsubj bought O
bought VBD ROOT ROOT O
a DT det laptop O
HP NNP compound laptop O
Pavilion NNP compound laptop O
DV4-1222nr NN compound laptop O
laptop NN dobj bought O
and CC cc bought O
have VB aux had O
had VBN conj bought O
so RB advmod many O
many JJ amod problems O
problems NNS dobj had O
with IN case computer O
the DT det computer O
computer NN nmod problems O
. . punct bought O

The DT det guy O
tech NN compound guy B-AS
guy NN nsubj said I-AS
then RB advmod said O
said VBD ROOT ROOT O
the DT det center O
service NN compound center B-AS
center NN nsubj do I-AS
does VBZ aux do O
not RB neg do O
do VB ccomp said O
1-to-1 JJ amod exchange O
exchange NN dobj do O
and CC cc do O
I PRP nsubj have O
have VBP conj do O
to TO mark direct O
direct VB xcomp have O
my PRP$ nmod:poss concern O
concern NN dobj direct O
to TO case team O
the DT det team O
`` `` punct team B-AS
sales NNS compound team I-AS
'' '' punct team I-AS
team NN nmod concern I-AS
, , punct team O
which WDT nsubj shop O
is VBZ cop shop O
the DT det shop O
retail JJ amod shop O
shop NN acl:relcl team O
which WDT dobj bought O
I PRP nsubj bought O
bought VBD acl:relcl shop O
my PRP$ nmod:poss netbook O
netbook NN dobj bought O
from IN nmod bought O
. . punct said O

I PRP nsubj investigated O
investigated VBD ROOT ROOT O
netbooks NNS dobj investigated O
and CC cc investigated O
saw VBD conj investigated O
the DT det NB305-N410BL O
Toshiba NNP compound NB305-N410BL O
NB305-N410BL NN dobj saw O
. . punct investigated O

The DT det day O
other JJ amod day O
day NN nsubj had O
I CD nummod day O
had VBD ROOT ROOT O
a DT det presentation O
presentation NN dobj had O
to TO mark do O
do VB acl presentation O
for IN case seminar O
a DT det seminar O
seminar NN nmod do O
at IN case conference O
a DT det conference O
large JJ amod conference O
conference NN nmod do O
in IN case town O
town NN nmod conference O
- : punct presentation O
lots NNS dep presentation O
of IN case people O
people NNS nmod lots O
, , punct lots O
little JJ amod time O
time NN appos lots O
to TO case prep O
prep NN nmod time O
and CC cc had O
have VBP conj had O
to TO mark set O
set VB xcomp have O
up RP compound:prt set O
a DT det computer O
computer NN dobj set O
to TO case projector O
a DT det projector O
projector NN nmod set O
, , punct projector O
etc. FW appos projector O
. . punct had O

it PRP nsubj quality O
is VBZ cop quality O
of IN case quality O
high JJ amod quality O
quality NN ROOT ROOT B-AS
, , punct quality O
has VBZ conj quality O
a DT det GUI O
killer NN compound GUI O
GUI NNP dobj has B-AS
, , punct quality O
is VBZ cop stable O
extremely RB advmod stable O
stable JJ conj quality O
, , punct quality O
is VBZ cop expandable O
highly RB advmod expandable O
expandable JJ conj quality O
, , punct quality O
is VBZ auxpass bundled O
bundled VBN acl quality O
with IN case lots O
lots NNS nmod bundled O
of IN case applications O
very RB advmod good O
good JJ amod applications O
applications NNS nmod lots B-AS
, , punct quality O
is VBZ cop easy O
easy JJ conj quality O
to TO mark use O
use VB xcomp easy B-AS
, , punct quality O
and CC cc quality O
is VBZ cop gorgeous O
absolutely RB advmod gorgeous O
gorgeous JJ conj quality O
. . punct quality O

Easy NNP nsubj start O
to TO mark start O
start VB ROOT ROOT B-AS
up RP compound:prt start I-AS
and CC cc start O
does VBZ aux overheat O
not RB neg overheat O
overheat VB conj start O
as RB advmod much O
much JJ dobj overheat O
as IN case laptops O
other JJ amod laptops O
laptops NNS nmod much O
. . punct start O

Sad JJ ROOT ROOT O
very RB advmod SAD O
SAD JJ dep Sad O
. . punct Sad O

I PRP nsubj got O
even RB advmod got O
got VBD ROOT ROOT O
