But CC cc horrible O
the DT det staff O
staff NN nsubj horrible B-AS
was VBD cop horrible O
so RB advmod horrible O
horrible JJ ROOT ROOT O
to TO case us O
us PRP nmod horrible O
. . punct horrible O

To TO mark fair O
be VB cop fair O
completely RB advmod fair O
fair JJ advcl food O
, , punct food O
the DT det factor O
only JJ amod factor O
redeeming JJ amod factor O
factor NN nsubj food O
was VBD cop food O
the DT det food O
food NN ROOT ROOT B-AS
, , punct food O
which WDT nsubj average O
was VBD cop average O
above JJ amod average O
average NN acl:relcl food O
, , punct average O
but CC cc average O
could MD aux make O
n't RB neg make O
make VB conj average O
up RP compound:prt make O
for IN case deficiencies O
all PDT det:predet deficiencies O
the DT det deficiencies O
other JJ amod deficiencies O
deficiencies NNS nmod make O
of IN case Teodora O
Teodora NNP nmod deficiencies O
. . punct food O

The DT det food O
food NN nsubj exceptional B-AS
is VBZ cop exceptional O
uniformly RB advmod exceptional O
exceptional JJ ROOT ROOT O
, , punct exceptional O
with IN case kitchen O
a DT det kitchen O
very RB advmod capable O
capable JJ amod kitchen O
kitchen NN nmod exceptional B-AS
which WDT nsubj whip O
will MD aux whip O
proudly RB advmod whip O
whip VB acl:relcl kitchen O
up RP compound:prt whip O
whatever WDT dobj feel O
you PRP nsubj feel O
feel VBP ccomp whip O
like IN case eating O
eating NN nmod feel O
, , punct exceptional O
whether IN mark menu O
it PRP nsubj menu O
's VBZ cop menu O
on IN case menu O
the DT det menu O
menu NN ccomp exceptional B-AS
or CC cc menu O
not RB conj menu O
. . punct exceptional O

Where WRB advmod greets O
Gabriela NNP compound personaly O
personaly NNP nsubj greets O
greets VBZ ROOT ROOT O
you PRP dobj greets O
and CC cc greets O
recommends VBZ conj greets O
you PRP dobj recommends O
what WP nsubj eat O
to TO mark eat O
eat VB ccomp recommends O
. . punct greets O

For IN case those O
those DT nmod is O
that WDT nsubj go O
go VBP acl:relcl those O
once RB advmod go O
and CC cc go O
do VBP aux enjoy O
n't RB neg enjoy O
enjoy VB conj go O
it PRP dobj enjoy O
, , punct is O
all DT nsubj is O
I PRP nsubj say O
can MD aux say O
say VB acl:relcl all O
is VBZ ROOT ROOT O
that IN mark get O
they PRP nsubj get O
just RB advmod get O
do VBP aux get O
n't RB neg get O
get VB ccomp is O
it PRP dobj get O
. . punct is O

Not RB neg only O
only RB cc:preconj food O
was VBD cop food O
the DT det food O
food NN ROOT ROOT B-AS
outstanding JJ amod food O
, , punct food O
but CC cc food O
the DT det perks O
little JJ amod perks O
` `` punct perks O
perks NNS nsubj great B-AS
' POS case perks O
were VBD cop great O
great JJ conj food O
. . punct food O

It PRP nsubj overpriced O
is VBZ cop overpriced O
very RB advmod overpriced O
overpriced JJ ROOT ROOT O
and CC cc overpriced O
not RB neg tasty O
very RB advmod tasty O
tasty JJ conj overpriced O
. . punct overpriced O

Our PRP$ nmod:poss favorite O
agreed VBN amod favorite O
favorite NN nsubj orrechiete O
is VBZ cop orrechiete O
the DT det orrechiete O
orrechiete NN ROOT ROOT B-AS
with IN case sausage I-AS
sausage NN nmod orrechiete I-AS
and CC cc sausage I-AS
chicken NN conj sausage I-AS
-LRB- -LRB- punct enough O
usually RB advmod enough O
the DT det waiters O
waiters NNS nsubj enough B-AS
are VBP cop enough O
kind RB advmod enough O
enough RB dep orrechiete O
to TO mark split O
split VB dep enough O
the DT det dish O
dish NN dobj split B-AS
in IN case half O
half NN nmod split O
so IN mark get O
you PRP nsubj get O
get VBP advcl split O
to TO case sample O
sample NN nmod get O
both CC det meats O
meats NNS dep sample B-AS
-RRB- -RRB- punct enough O
. . punct orrechiete O

The DT det Bagels O
Bagels NNS nsubj have B-AS
have VBP ROOT ROOT O
an DT det taste O
outstanding JJ amod taste O
taste NN dobj have O
with IN case texture O
a DT det texture O
terrific JJ amod texture O
texture NN nmod taste O
, , punct have O
both CC cc:preconj chewy O
chewy JJ nsubj gummy O
yet RB advmod gummy O
not RB neg gummy O
gummy VB parataxis have O
. . punct have O

Nevertheless RB advmod good O
the DT det food O
food NN nsubj good B-AS
itself PRP nmod:npmod food O
is VBZ cop good O
pretty RB advmod good O
good JJ ROOT ROOT O
. . punct good O

They PRP nsubj have O
did VBD aux have O
not RB neg have O
have VB ROOT ROOT O
mayonnaise NN dobj have B-AS
, , punct have O
forgot VBD conj have O
our PRP$ nmod:poss toast O
toast NN dobj forgot B-AS
, , punct have O
left VBD nsubj cooked O
out RP compound:prt left O
ingredients NNS dobj left B-AS
-LRB- -LRB- punct cheese O
ie FW compound cheese O
cheese NN dep ingredients B-AS
in IN case omelet O
an DT det omelet O
omelet NN nmod cheese B-AS
-RRB- -RRB- punct cheese O
, , punct left O
below IN case temperatures O
hot JJ amod temperatures O
temperatures NNS nmod left O
and CC cc temperatures O
the DT det bacon O
bacon NN conj temperatures B-AS
was VBD cop cooked O
so RB advmod cooked O
over IN advmod cooked O
cooked VBN parataxis have O
it PRP nsubj crumbled O
crumbled VBD ccomp cooked O
on IN case plate O
the DT det plate O
plate NN nmod crumbled B-AS
when WRB advmod touched O
you PRP nsubj touched O
touched VBD advcl crumbled O
it PRP dobj touched O
. . punct have O

It PRP nsubj took O
took VBD ROOT ROOT O
half PDT det:predet hour O
an DT det hour O
hour NN nmod:tmod took O
to TO mark get O
get VB xcomp took O
our PRP$ nmod:poss check O
check NN dobj get B-AS
, , punct check O
which WDT nsubj perfect O
was VBD cop perfect O
perfect JJ acl:relcl check O
since IN mark sit O
we PRP nsubj sit O
could MD aux sit O
sit VB advcl perfect O
, , punct check O
have VBP dep took O
drinks NNS dobj have B-AS
and CC cc have O
talk VB conj have O
! . punct took O

The DT det design O
design NN nsubj good B-AS
and CC cc design O
atmosphere NN conj design B-AS
is VBZ cop good O
just RB advmod good O
as RB advmod good O
good JJ ROOT ROOT O
. . punct good O

He PRP nsubj visited O
has VBZ aux visited O
visited VBN ROOT ROOT O
Thailand NNP dobj visited O
and CC cc visited O
is VBZ cop expert O
quite RB advmod expert O
expert JJ conj visited O
on IN case cuisine O
the DT det cuisine O
cuisine NN nmod expert B-AS
. . punct visited O

I PRP nsubj recommend O
would MD aux recommend O
definitely RB advmod recommend O
recommend VB ROOT ROOT O
Mary NNP dobj recommend O
's POS case Mary O
and CC cc recommend O
am VBP aux making O
making VBG conj recommend O
it PRP nsubj one O
one CD xcomp making O
of IN case haunts O
my PRP$ nmod:poss haunts O
regular JJ amod haunts O
neighborhood NN compound haunts O
haunts NNS nmod one O
. . punct recommend O

The DT det pizza O
pizza NN nsubj best B-AS
is VBZ cop best O
the DT det best O
best JJS ROOT ROOT O
if IN mark pizza O
you PRP dep pizza O
like IN case pizza O
thin JJ amod pizza B-AS
crusted JJ amod pizza I-AS
pizza NN advcl best I-AS
. . punct best O

My PRP$ nmod:poss Girlfriend O
Girlfriend NN nsubj stumbled O
and CC cc Girlfriend O
I PRP conj Girlfriend O
stumbled VBD ROOT ROOT O
onto IN case place O
this DT det place O
hopping VBG amod place O
place NN nmod stumbled O
the DT det night O
other JJ amod night O
night NN nmod:tmod stumbled O
and CC cc stumbled O
had VBD conj stumbled O
a DT det time O
great JJ amod time O
time NN dobj had O
! . punct stumbled O

He PRP nsubj help O
ca MD aux help O
n't RB neg help O
help VB ccomp bought O
, , punct bought O
they PRP nsubjpass bought O
're VBP auxpass bought O
bought VBN ROOT ROOT O
up RP compound:prt bought O
so RB advmod fast O
fast RB advmod bought O
. . punct bought O

Secondly RB advmod overwhelmed O
, , punct overwhelmed O
on IN case night O
this DT det night O
night NN nmod overwhelmed O
the DT det place O
place NN nsubjpass overwhelmed O
was VBD auxpass overwhelmed O
overwhelmed VBN ROOT ROOT O
by IN case perfume O
upper JJ amod perfume O
east JJ amod perfume O
side NN compound perfume O
ladies NNS compound perfume O
perfume NN nmod overwhelmed O
. . punct overwhelmed O

i LS nsubj eaten O
have VBP aux eaten O
eaten VBN ROOT ROOT O
here RB advmod eaten O
a DT det handful O
handful NN dobj eaten O
of IN case times O
times NNS nmod handful O
, , punct eaten O
for IN case reason O
no DT neg reason O
reason NN nmod eaten O
besides IN case convenience O
sheer JJ amod convenience O
convenience NN nmod reason O
. . punct eaten O

Obviously RB advmod run O
run VBN ROOT ROOT O
by IN case folks O
folks NNS nmod run O
who WP nsubj know O
know VBP acl:relcl folks O
a DT det pie O
pie NN dobj know O
. . punct run O

We PRP nsubj disappointed O
were VBD cop disappointed O
very RB advmod disappointed O
disappointed JJ ROOT ROOT O
. . punct disappointed O

IT PRP nsubj IS O
IS VBZ ROOT ROOT O
DEFINITELY NNP compound SPECIAL O
SPECIAL NNP dobj IS O
AND CC cc SPECIAL O
AFFORDABLE NNP conj SPECIAL O
. . punct IS O

I PRP nsubj liked O
really RB advmod liked O
liked VBD ROOT ROOT O
this DT det place O
place NN dobj liked O
. . punct liked O

I PRP nsubj going O
will MD aux going O
be VB aux going O
going VBG ROOT ROOT O
back RB advmod going O
very RB advmod soon O
soon RB advmod going O
. . punct going O

All PDT det:predet money O
the DT det money O
money NN nsubj went O
went VBD ROOT ROOT O
into IN case decoration O
the DT det decoration O
interior JJ amod decoration B-AS
decoration NN nmod went I-AS
, , punct went O
none NN nsubj went O
of IN case it O
it PRP nmod none O
went VBD parataxis went O
to TO case chefs O
the DT det chefs O
